Date,Totalizadores Energia_KW Gral Planta,Totalizadores Energia_KW Cond 5. 6 y 9,rolling_7,Consolidado KPI_EE Frio / Hl,inter_agua_cond_x_frio,Consolidado EE_KW Gral Planta,Consolidado KPI_EE Aire / Hl,Consolidado EE_Servicios (Kw),Servicios_total,eficiencia_frio,Consolidado KPI_CO 2 linea 3 / Hl,Totalizadores Energia_KW Obrador Contratistas,Consolidado KPI_EE Resto Serv / Hl,Consolidado KPI_CO 2 Linea 4 / Hl,Consolidado KPI_EE Agua / Hl,Consolidado KPI_EE Resto Planta / Hl,Consolidado EE_Sala Maq (Kw),Consolidado KPI_EE Envasado / Hl,Consolidado KPI_EE Elaboracion / Hl,Consolidado EE_Planta (Kw),Consolidado KPI_EE Servicios / Hl,Consolidado KPI_EE Caldera / Hl,rolling_30,Consolidado KPI_EE Bodega / Hl,Totalizadores Energia_KW Laboratorio,Consolidado KPI_Aire Planta / Hl,Consolidado KPI_EE Planta / Hl,Totalizadores Energia_KW Linea 3,Consolidado KPI_Agua Planta / Hl,Consolidado EE_Restos Planta (Kw),target
2023-01-26,62739.0,15.0,17312.14285714286,2.44281014189573,2146440.0,62739.0,0.633352508193416,35623.0,35623.0,0.00022501587127520147,0.313436830835118,71.0,0.478612974941616,1.06959279038718,0.0351392100134048,0.298047180739902,25956.0,1.68784633157761,0.686802210171637,60874.99,3.77037372984192,0.0495335851996188,14672.766666666666,0.482105727744153,587.0,5.34147744501957,6.44306945233107,7139.0,3.1883541037464,2815.99,16208.0
2023-01-27,51886.0,1.0,17359.571428571428,2.50386207748872,1071348.7999999998,51886.0,0.789408638694927,27109.0,27109.0,0.0003708750486086112,0.266105167311632,72.0,0.603874436136687,1.08466588116479,0.0471173453624174,0.445005561391584,18546.0,2.4788358153618,0.611598591114132,49994.61,4.18788234567138,0.0489711425570043,14872.633333333333,0.609590310819996,646.0,6.39791756781808,7.7233223135389,7254.0,3.33281838966817,2880.61,18832.0
2023-01-28,58257.0,102.0,17393.0,2.46773157915427,1943462.4000000001,58257.0,0.7402408501828,30986.0,30986.0,0.0004304848440693415,0.287937743190662,65.0,0.541323234573402,1.09927360774818,0.0438981562774364,0.431116585640717,20461.0,2.16070656375716,0.744172028356899,56443.98,4.06038289675416,0.048091412996475,15077.866666666667,0.612608598797059,615.0,6.14574187884109,7.39637807450893,7329.0,3.48529084166525,3289.98,17360.0
2023-01-29,43811.0,193.0,17750.428571428572,2.06607635913549,2213400.0,43811.0,0.606493382842997,28877.0,28877.0,0.0003718694917705023,0.303821062441752,41.0,0.495929734361611,1.18782383419689,0.025706940874036,0.243579215462249,20761.0,0.584713891269161,0.762877273160049,42246.65,3.43675616490526,0.0461772826811387,15440.266666666666,0.523778920308483,536.0,4.9764353041988,5.02792654479672,2710.0,3.19633676092545,2046.65,16043.0
2023-01-30,36294.0,37.0,18369.428571428572,3.35385548087677,1597882.7999999998,36294.0,0.930290898828252,26446.0,26446.0,0.0005275280197924957,0.303821062441752,34.0,0.757194075405826,1.8,0.0495458298926507,0.454997961722188,17733.0,0.275742403495385,1.03690850745801,34901.46,5.5286456427892,0.0855031410383719,15489.966666666667,0.948060500266544,491.0,7.41535920726672,7.29629451546478,381.0,4.28997899005948,2176.46,17830.0
2023-01-31,62609.0,315.0,18433.14285714286,2.97637926717302,2084327.0,62609.0,0.862699273850263,30921.0,30921.0,0.0004648448657017767,0.289786880708553,45.0,0.853351139303898,1.06634216693708,0.0338869877305734,0.769406560387279,18452.0,3.27768967531926,0.958016860028378,60904.13,5.1616726483599,0.0716133878641182,15803.533333333333,0.969034304315166,474.0,7.37601201903013,10.1667857440948,7047.0,3.77098739671146,4609.13,23381.0
2023-02-01,72591.0,510.0,18962.0,3.24903075191418,2665434.0,72591.0,0.819726804052082,37339.0,37339.0,0.00030895162225806654,0.290650950977766,52.0,0.813473590595167,1.06474030724214,0.0195934021650015,0.736968997957283,25616.0,2.64177424509818,1.28705028973222,70915.45,5.18863860595028,0.0332115114711727,16320.633333333333,1.17490932840488,407.0,6.85894140044189,9.85443213873796,6920.0,4.08040242902603,5303.45,20697.0
2023-02-02,69343.0,504.0,18621.571428571428,1.71679907428721,2144209.1999999997,69343.0,0.606773214881912,37198.0,37198.0,0.00023873158122990711,0.263975875666899,57.0,0.559492185150853,1.07178312332952,0.0316036356623388,0.412446523703764,23982.0,1.53663346625939,0.571519815521035,67585.28,3.08554341041385,0.0186635643675229,16659.0,0.387953291319576,473.0,4.96143900228732,5.60614321589804,7297.0,3.09682449820933,4972.28,19475.0
2023-02-03,65723.0,104.0,19088.285714285714,1.73531288203615,1630057.5,65723.0,0.649929250915105,34495.0,34495.0,0.000273800783747532,0.294310465933037,55.0,0.489897315811797,1.0668012479354,0.0373348445480434,0.426469068214949,22812.0,1.63952539304057,0.58417002591163,64237.16,3.07366458874644,0.0178209281852236,16739.5,0.404980593009206,317.0,5.255926349668,5.72382907591359,7060.0,3.10581354319258,4786.16,19856.0
2023-02-04,64749.0,88.0,19234.571428571428,2.16153959620272,1540825.5999999999,64749.0,0.738511513932274,34210.0,34210.0,0.00031652946020480934,0.262215343798364,51.0,0.56531401707699,1.07179916317992,0.0385367152022443,0.521015300926568,22441.0,1.99792184775929,0.651640613561114,63335.07,3.72412719510954,0.0253645611359404,16809.266666666666,0.544521608592164,265.0,6.09848961114386,6.89470495735651,7064.0,3.41735752437529,4786.07,18903.0
