fecha_dia,HORA,Planta (Kw),Elaboracion (Kw),Bodega (Kw),Cocina (Kw),Envasado (Kw),Linea 2 (Kw),Linea 3 (Kw),Linea 4 (Kw),Servicios (Kw),Sala Maq (Kw),Aire (Kw),Calderas (Kw),Efluentes (Kw),Frio (Kw),Pta Agua / Eflu (Kw),Prod Agua (Kw),Resto Serv (Kw),Restos Planta (Kw),KW Gral Planta,HORA_Produccion,Hl de Mosto_Produccion,Hl Cerveza Cocina_Produccion,Hl Producido Bodega_Produccion,Hl Cerveza Filtrada_Produccion,Hl Cerveza Envasada_Produccion,Hl Cerveza L2_Produccion,Hl Cerveza L3_Produccion,Hl Cerveza L4_Produccion,Hl Cerveza L5_Produccion,Cocimientos Diarios_Produccion,Hl de Mosto Copia_Produccion,Unnamed: 14_Produccion,Unnamed: 15_Produccion,Unnamed: 16_Produccion,Unnamed: 17_Produccion,Unnamed: 18_Produccion,HORA_GasVapor,Conversion Kg/Mj_GasVapor,Gas Planta (Mj)_GasVapor,Vapor Elaboracion (Kg)_GasVapor,Vapor Cocina (Kg)_GasVapor,Vapor Envasado (Kg)_GasVapor,Vapor Servicio (Kg)_GasVapor,ET Elaboracion (Mj)_GasVapor,ET Envasado (Mj)_GasVapor,ET Servicios (Mj)_GasVapor,Tot_Vapor_L3_L4_GasVapor,VAPOR DE LINEA 1 Y 2 KG_GasVapor,VAPOR DE LINEA 4 KG_GasVapor,Vapor_L5 (KG)_GasVapor,Tot_Vapor_CIP_Bodega_GasVapor,Vapor L3_GasVapor,Tot Vap Paste L3 / Hora_GasVapor,Tot Vap Lav L3 / Hora_GasVapor,Medicion Gas Planta (M3)_GasVapor,Vapor _Vapor_L5 (KG)_GasVapor,HORA_Agua,Agua Planta (Hl)_Agua,Agua Elaboracion (Hl)_Agua,Agua Bodega (Hl)_Agua,Agua Cocina (Hl)_Agua,Agua Dilucion (Hl)_Agua,Agua Envasado (Hl)_Agua,Agua Servicios (Hl)_Agua,Planta de agua (Hl)_Agua,Produccion (Hl)_Agua,Red L1 y L2_Agua,FC L1 y L2_Agua,FC Lavadora L2_Agua,Red L3_Agua,FC Lavadora L3_Agua,Red Paste L4_Agua,FC Barriles_Agua,Agua Paste L3_Agua,Agua Lavadora L3_Agua,Agua Cond Evaporativos_Agua,Agua Calderas_Agua,Agua Efluentes_Agua,Agua CO2_Agua
2020-07-11,05:00:00,13741.34,1062.379999999888,985.3799999998882,271.0,3412.0,1131.84,1273.0,1385.0,8756.5,6327.0,1565.0,157.0,71.0,5859.0,257.0,165.0,338.5,510.4600000001119,14216.0,05:00:00,1724.0,2892.6,2645.8,3106.0,2399.0,505.0,945.0,949.0,0.0,,,,,,,,05:00:00,2.974483218010897,131104.5716,14507.73,11830.0,26890.96000000006,2677.729999999996,43152.99941643322,79986.70923620247,7964.862947364306,17171.81000000006,3610.0,6065.0,,2677.729999999996,11106.81000000006,,,,44.14999999999964,05:00:00,7850.0,4758.7,2250.5,2508.2,959.0,2858.400000000001,232.8999999999996,10232.53,7617.1,97.2,14.5,0.0,97.09,24.0,51.45,1.6,,,,,,
2020-07-12,05:00:00,14563.41,1696.25,1493.75,410.0,3094.0,1693.870000000021,384.0,1640.0,9066.5,6240.0,1948.0,192.0,111.0,5414.0,308.0,178.0,588.5,706.6599999999999,15118.0,05:00:00,1757.0,3162.6,2471.8,2087.0,1781.0,750.0,0.0,1003.0,28.0,,,,,,,,05:00:00,3.499618644507005,123297.1992319998,16353.06,13520.0,16045.49000000011,2833.059999999998,57229.47367074171,56153.09596425109,9914.629597007006,7690.440000000061,1300.0,5761.620000000054,,2833.059999999998,1928.820000000007,,,,1293.429999999998,05:00:00,6310.0,3651.9,1464.4,2187.5,637.0,1485.0,1173.1,7429.81,5136.9,63.66,26.49,0.0,20.52,0.0,28.33,9.5,,,,,,
2020-07-13,06:00:00,18883.8,1996.0,1705.25,514.0,3631.0,1996.709999999974,280.0,2056.0,12461.5,8951.0,2033.0,226.0,135.0,7980.0,394.0,235.0,996.5,795.2999999999993,19535.0,06:00:00,2447.0,4404.6,3349.8,2401.0,2295.0,963.0,0.0,1288.0,44.0,,,,,,,,06:00:00,3.582524686694712,141943.5688640001,20089.70000000001,17530.0,16971.70000000006,2559.700000000012,71971.84619829079,60801.53422517684,9170.188440532494,7451.180000000051,1020.0,7296.940000000002,,2559.700000000012,154.2400000000489,,,,1203.580000000002,06:00:00,8470.0,5067.1,2082.8,2984.3,864.0,1605.1,1797.799999999999,9568.39,6672.200000000001,70.37,27.59,0.0,14.21,0.0,41.44,6.9,,,,,,
2020-07-14,06:00:00,20496.2,1894.129999999888,1807.629999999888,395.0,5289.0,1877.7,1931.0,2163.0,12409.5,8769.0,2148.0,242.0,146.0,7852.0,416.0,242.0,1005.5,903.5700000001125,21169.0,06:00:00,1599.0,2878.2,3187.6,3276.0,3497.0,726.0,1201.0,1490.0,80.0,,,,,,,,06:00:00,3.199026569267137,169266.7658720003,18337.53,15940.0,32176.90000000009,2397.529999999999,58662.24568473321,102934.758016652,7669.762170615036,22129.81000000006,1290.0,7756.030000000028,,2397.529999999999,14373.78000000003,,,,1001.060000000001,06:00:00,9660.0,5319.2,2495.2,2824.0,1080.0,2715.1,1625.7,11843.18,8034.299999999999,76.17,21.1,0.0,97.1,28.0,43.64,5.5,,,,,,
2020-07-15,12:00:00,33040.03,3855.0,3610.25,1016.0,4489.0,1766.310000000028,1809.0,2007.0,23191.0,16133.0,3757.0,431.0,344.0,14355.0,862.0,463.0,2261.0,1505.029999999999,34405.0,12:00:00,3733.0,5561.8,3843.9,4720.0,2126.0,284.0,692.0,990.0,160.0,,,,,,,,12:00:00,3.436193339025044,262215.3982719997,41001.39999999999,33950.0,28257.04999999986,7051.399999999994,140888.7375707014,97096.68699049712,24229.97371080118,18015.37999999989,1090.0,7051.339999999967,,7051.399999999994,10964.03999999992,,,,2100.330000000002,12:00:00,18370.0,10539.8,5037.4,5502.4,1601.0,3764.299999999999,4065.900000000001,21080.32,14304.1,128.23,9.9,0.0,110.1,16.0,98.1,14.1,,,,,,
2020-07-16,06:00:00,18001.78,1889.129999999888,1793.129999999888,389.0,5071.0,1753.900000000054,1796.0,2147.0,10243.5,7010.0,1851.0,219.0,179.0,6094.0,425.0,222.0,1169.5,798.1500000001106,18643.0,06:00:00,1436.0,2203.2,2821.1,2031.0,3439.0,989.0,966.0,1484.0,0.0,,,,,,,,06:00:00,3.051656293845768,170763.1180960007,20242.19,14840.0,30313.14000000008,5402.190000000002,61772.20651472187,92505.28446722815,16485.62711405068,21436.87000000011,500.0,7881.219999999972,,5402.190000000002,13555.65000000014,,,,495.0499999999956,06:00:00,9890.0,5283.7,2601.2,2682.5,643.0,2885.3,1721.0,12246.93,8169.0,67.37,29.09,0.0,119.22,23.0,47.35,2.5,,,,,,
2020-07-17,06:00:00,15810.09,1927.75,1755.5,440.0,3949.0,104.8999999999978,1893.0,2056.0,9687.5,6549.0,1752.0,222.0,170.0,5597.0,406.0,215.0,1056.5,245.8400000000001,16415.0,06:00:00,1491.0,2015.55,2113.275,2228.0,2211.0,0.0,1220.0,991.0,0.0,,,,,,,,06:00:00,2.704751514974565,155633.8364479998,23389.41999999998,19260.0,30022.06,4129.419999999984,63262.56917937634,81202.21226765728,11169.05500096622,22813.5,0.0,7051.190000000002,,4129.419999999984,15762.31,,,,157.3699999999953,06:00:00,7670.0,4510.4,2347.8,2162.6,481.0,1878.6,1281.0,9097.56,6389.0,0.2,0.0,0.0,118.72,29.0,39.84,0.1,,,,,,
2020-07-18,06:00:00,19001.56,2102.379999999888,2044.879999999888,365.0,5064.0,1641.029999999972,2018.0,2027.0,11001.5,8007.0,1853.0,231.0,173.0,7100.0,426.0,232.0,1110.5,833.6800000001131,19644.0,06:00:00,1365.0,1979.25,2562.125,3358.0,3145.0,719.0,1461.0,965.0,0.0,,,,,,,,06:00:00,2.993521496113357,163962.117312,19742.89000000001,14590.0,29876.54000000011,5152.890000000014,59100.76561040147,89436.06471949088,15425.2869821076,22360.87000000011,540.0,6912.0,,5152.890000000014,15448.87000000011,,,,63.66999999999825,06:00:00,10840.0,5300.299999999999,3122.9,2177.4,1346.0,3206.4,2333.300000000001,13516.37,8506.699999999999,81.48,33.1,0.0,112.71,35.0,53.55,4.8,,,,,,
2020-07-19,06:00:00,19934.99,2276.0,2111.0,452.0,5183.0,1780.74,1945.0,2136.0,11597.5,8387.0,1976.0,230.0,172.0,7515.0,452.0,255.0,1278.5,878.489999999998,20591.0,06:00:00,1789.0,3220.2,3342.6,3660.0,3465.0,872.0,1330.0,1225.0,38.0,,,,,,,,06:00:00,3.076060282067942,177517.9008479998,20645.94,16820.0,33237.61999999997,3825.940000000002,63508.15601995782,102240.922752467,11768.82207557503,23315.5,1320.0,7331.27999999997,,3825.940000000002,15984.22000000003,,,,1270.840000000004,06:00:00,10140.0,5330.299999999999,2823.099999999999,2507.2,1318.0,3127.3,1682.400000000001,12734.27,8457.599999999999,67.27,29.89,0.0,122.22,32.0,52.05,9.3,,,,,,
2020-07-20,06:00:00,21088.0,2417.13,2246.13,492.0,4867.0,1558.44,1879.0,2180.0,12840.0,9615.0,2106.0,236.0,173.0,8722.0,456.0,255.0,1021.0,963.869999999999,21747.0,06:00:00,1728.0,3110.4,3042.7,1805.0,2975.0,361.0,1156.0,1458.0,0.0,,,,,,,,06:00:00,3.188172765764142,162825.0842239999,18581.28,15470.0,29379.03999999999,3111.279999999999,59240.33084903793,93665.45521229533,9919.298162666655,20751.75,130.0,7376.619999999995,,3111.279999999999,13375.13,,,,1120.669999999998,06:00:00,9580.0,5010.1,2259.9,2750.2,624.0,3269.5,1300.4,12348.49,8279.6,114.21,33.69,0.0,113.11,28.0,36.14,1.8,,,,,,
2020-07-21,06:00:00,21206.07,1809.13,1598.88,453.0,4947.0,1579.76,1888.0,2120.0,13664.0,9857.0,1954.0,230.0,190.0,8940.0,474.0,263.0,1200.0,785.9399999999987,21855.0,06:00:00,2559.0,3838.5,3301.25,1656.0,2764.0,404.0,1115.0,1242.0,3.0,,,,,,,,06:00:00,3.029467344203314,164901.420624,21282.22,18130.0,29998.04,3152.22,64473.79050215066,90878.08257010479,9549.54755174457,21317.75,10.0,7895.38,,3152.22,13422.37,,,,774.91,06:00:00,10505.5,5317.4,2532.3,2785.1,408.0,3558.2,1629.900000000001,13531.96,8875.599999999999,82.08,58.19,0.0,110.87,25.2,77.38,2.1,,,,,,
2020-07-22,06:00:00,18827.18,1614.5,1371.25,530.0,4409.0,1585.62,1309.0,2143.0,11984.5,8276.0,1845.0,229.0,168.0,7359.0,447.0,250.0,1145.5,819.1800000000003,19512.0,06:00:00,2310.0,4158.0,3231.0,1155.0,2304.0,417.0,381.0,1506.0,0.0,,,,,,,,06:00:00,3.078568011726225,147146.746256,17847.16,14170.0,26272.82,3677.16,54943.69587615981,80882.663229841,11320.38714999921,18409.0,0.0,6862.38,,3677.16,11546.62,,,,1001.44,06:00:00,9115.5,5004.9,1770.6,3234.3,345.0,3093.5,1017.100000000001,11708.51,8098.4,73.17,61.68,0.0,133.58,23.81,14.71,2.4,,,,,,
2020-07-23,05:00:00,20048.97,2063.38,1927.13,390.0,4341.0,1656.78,1427.0,1792.0,12894.5,9982.0,1462.0,190.0,144.0,9287.0,352.0,192.0,1054.5,750.0900000000001,20620.0,05:00:00,1148.0,2066.4,2291.2,3309.0,2516.0,807.0,435.0,1274.0,0.0,,,,,,,,05:00:00,3.322929580344244,126648.875312,14832.16,12960.0,21409.3,1872.16,49286.22320439869,71141.59626446402,6221.055843137281,14495.63,260.0,6240.81,,1872.16,8254.82,,,,412.86,05:00:00,7244.0,4131.5,2614.4,1517.1,1415.0,2121.5,991.0,8952.35,6253.0,64.96,29.5,0.0,72.81,12.55,30.23,2.1,,,,,,
2020-07-24,06:00:00,18203.01,1957.5,1710.5,517.0,3861.0,208.26,1741.0,2120.0,12034.0,8934.0,1821.0,222.0,182.0,8120.0,450.0,242.0,972.0,350.5099999999984,18889.0,06:00:00,2212.0,3981.6,2893.3,963.0,1805.0,0.0,359.0,1446.0,0.0,,,,,,,,06:00:00,2.859728516344865,132942.172752,17483.38,15210.0,26730.93,2273.38,49997.72034809349,76443.20278941844,6501.24961448809,18160.13,0.0,7990.88,,2273.38,10169.25,,,,579.92,06:00:00,8656.7,4666.4,1631.3,3035.1,291.0,2202.1,1788.200000000001,10392.16,6868.5,16.12,0.0,0.0,110.17,13.25,74.17,6.5,,,,,,
2020-07-25,06:00:00,17149.55,1743.75,1777.0,286.0,3617.0,1808.43,364.0,2069.0,11003.5,7378.0,2092.0,218.0,196.0,6459.0,424.0,208.0,1439.5,785.2999999999993,17871.0,06:00:00,652.0,1173.6,1689.8,1218.0,2206.0,787.0,0.0,1419.0,0.0,,,,,,,,06:00:00,3.543329228841085,123153.332576,14067.75,10430.0,17050.89,3637.75,49846.66975902917,60416.91691475418,12889.74590221666,7912.63,1080.0,7546.13,,3637.75,366.5,,,,512.13,06:00:00,8492.7,3095.8,1469.2,1626.6,438.0,2112.2,3284.700000000002,10295.32,5208.0,119.62,26.43,0.0,16.63,0.0,45.84,2.7,,,,,,
2020-07-26,12:00:00,41805.5,4325.75,3961.75,967.0,10669.0,3781.31,4103.0,4263.0,24890.5,17230.0,4238.0,467.0,408.0,15415.0,945.0,501.0,3257.5,1920.25,43380.0,12:00:00,3361.0,5310.0,6466.5,5823.0,7623.0,1446.0,3267.0,2764.0,146.0,,,,,,,,12:00:00,3.194724415604584,346842.699888,34042.16,29660.0,70143.01,4382.16,108755.3197119177,224087.5866309964,13999.79354508578,49157.5,2410.0,15510.81,,4382.16,33646.69,,,,3064.7,12:00:00,19255.8,9552.8,4924.0,4628.8,1988.0,7013.400000000001,2689.600000000003,25313.92000000001,16566.2,184.58,63.16,0.0,234.88,74.01,120.62,24.09,,,,,,
2020-07-27,06:00:00,20237.51,1919.13,1780.13,438.0,4702.0,1261.7,1991.0,2114.0,12730.5,9083.0,1986.0,233.0,208.0,8177.0,480.0,253.0,1584.5,885.8799999999974,20972.0,06:00:00,1507.0,2185.15,2532.575,2560.0,2880.0,159.0,1449.0,1229.0,43.0,,,,,,,,06:00:00,2.760813120841141,178805.055664,21971.22,18770.0,39592.92,3201.22,60658.43245688729,109308.6530284136,8837.970178699075,28611.75,10.0,10029.5,,3201.22,18582.25,,,,941.67,06:00:00,11899.6,4381.2,2127.0,2254.2,727.0,4867.4,2651.000000000001,16328.88,9248.599999999999,116.21,24.82,0.0,113.75,33.67,194.99,3.3,,,,,,
2020-07-28,06:00:00,19858.03,1931.38,1775.63,455.0,4924.0,1377.66,1991.0,2174.0,12160.5,8517.0,2006.0,223.0,188.0,7672.0,450.0,242.0,1569.5,842.1499999999978,20611.0,06:00:00,1204.0,1745.8,2437.4,2725.0,3129.0,261.0,1401.0,1467.0,0.0,,,,,,,,06:00:00,2.957103803255398,149027.0904,18110.78,15390.0,29564.74,2720.78,53555.45641792179,87426.00509625698,8045.628885821222,21832.5,0.0,7116.44,,2720.78,14716.06,,,,615.8,06:00:00,9773.8,4296.9,2618.5,1678.4,769.0,3342.800000000001,2134.099999999999,12686.91,7639.700000000001,111.51,42.44,0.0,116.84,32.07,24.72,6.7,,,,,,
